Element,X,y
inst_79309,101,120
inst_51714,101,120
inst_70802,101,120
inst_33611,101,120
inst_66060,101,120
inst_14869,101,60
inst_65886,101,90
inst_75393,101,210
inst_57185,101,150
inst_64612,101,210
inst_11830,101,60
inst_24381,101,210
inst_66052,101,120
inst_8299,101,210
inst_94327,101,150
inst_49207,101,180
inst_10348,101,60
inst_19334,101,210
inst_14883,101,210
inst_99077,101,150
inst_1117,101,60
inst_73129,101,60
inst_13793,101,60
inst_30065,101,90
inst_86490,101,60
inst_87301,101,60
inst_51095,101,60
inst_66493,101,60
inst_48465,101,60
inst_33236,101,60
inst_15197,101,150
inst_81914,101,180
inst_29446,101,180
inst_69385,101,120
inst_56711,101,180
inst_33359,101,120
inst_29074,101,180
inst_39443,101,120
inst_14090,101,180
inst_74860,101,180
inst_79752,101,90
inst_23302,101,210
inst_62741,101,210
inst_80825,101,180
inst_79962,101,180
inst_60949,101,60
inst_31176,101,120
inst_82280,101,60
inst_46043,101,120
inst_63195,101,90
inst_87488,101,60
inst_87961,101,180
inst_21660,101,150
inst_36680,101,120
inst_88548,101,120
inst_75649,101,150
inst_37670,101,60
inst_4172,101,60
inst_48158,101,60
inst_44600,101,60
inst_97762,101,180
inst_100115,101,180
inst_99639,101,120
inst_4502,101,180
inst_33254,101,180
inst_65553,101,60
inst_6597,101,120
inst_5468,101,60
inst_52579,101,60
inst_84030,101,120
inst_36958,101,120
inst_28911,101,180
inst_34930,101,210
inst_53936,101,120
inst_90381,101,210
inst_12858,101,180
inst_103673,101,210
inst_56352,101,120
inst_71296,101,210
inst_45366,101,120
inst_38586,101,60
inst_87904,101,60
inst_105170,101,120
inst_87235,101,150
inst_58142,101,60
inst_101406,101,60
inst_64872,101,90
inst_3914,101,150
inst_26717,101,150
inst_38224,101,120
inst_12640,101,210
inst_7989,101,60
inst_55035,101,120
inst_76751,101,60
inst_97941,101,120
inst_38696,101,120
inst_24284,101,90
inst_8425,101,210
inst_29488,101,180
inst_61561,101,210
inst_13051,101,180
inst_53191,101,120
inst_23335,101,210
inst_17993,101,180
inst_90333,101,210
inst_99734,101,150
inst_77481,101,180
inst_37665,101,210
inst_21156,101,90
inst_82397,101,60
inst_46150,101,120
inst_69805,101,120
inst_58519,101,180
inst_21544,101,210
inst_83002,101,120
inst_67913,101,210
inst_19718,101,60
inst_20934,101,180
inst_4943,101,180
inst_49331,101,120
inst_82443,101,150
inst_34207,101,210
inst_23068,101,180
inst_50381,101,210
inst_32711,101,120
inst_59076,101,180
inst_43719,101,60
inst_67628,101,180
inst_96254,101,150
inst_35970,101,120
inst_2708,101,120
inst_12994,101,60
inst_27221,101,180
inst_73466,101,90
inst_26814,101,210
inst_55645,101,120
inst_11609,101,90
inst_33506,101,210
inst_65542,101,60
inst_21141,101,210
inst_22526,101,210
inst_51092,101,210
inst_19838,101,180
inst_47016,101,210
inst_23918,101,150
inst_2048,101,60
inst_21483,101,90
inst_62630,101,210
inst_91222,101,60
inst_11624,101,180
inst_81608,101,150
inst_93704,101,60
inst_42283,101,120
inst_67486,101,210
inst_62750,101,210
inst_78861,101,120
inst_104806,101,60
inst_72948,101,210
inst_38877,101,210
inst_36808,101,120
inst_36358,101,60
inst_47974,101,60
inst_85459,101,150
inst_75202,101,210
inst_25043,101,180
inst_95980,101,150
inst_101709,101,60
inst_40431,101,120
inst_67491,101,210
inst_50972,101,210
inst_35209,101,150
inst_96683,101,180
inst_28485,101,150
inst_74101,101,180
inst_28659,101,60
inst_84211,101,60
inst_42614,101,60
inst_50017,101,60
inst_6605,101,120
inst_2398,101,120
inst_11732,101,150
inst_67123,101,120
inst_61430,101,60
inst_12588,101,210
inst_45992,101,210
inst_68884,101,180
inst_70303,101,180
inst_11581,101,90
inst_53981,101,120
inst_7924,101,210
inst_52762,101,60
inst_2995,101,180
inst_34743,101,120
inst_97366,101,150
inst_41803,101,180
inst_89126,101,120
inst_103607,101,60
inst_81369,101,210
inst_91126,101,60
inst_51301,101,60
inst_67230,101,180
inst_27135,101,210
inst_72961,101,210
inst_15549,101,180
inst_104059,101,210
inst_21310,101,210
inst_87407,101,120
inst_47618,101,60
